,volume,open,close,high,low,date
0,35150605.0,162.15,161.25,165.23,158.49,2022-06-30 04:00:00
1,28595236.0,163.57,163.94,166.33,160.32,2022-06-29 04:00:00
2,27788725.0,169.9,160.68,171.3,160.61,2022-06-28 04:00:00
3,29167509.0,171.32,169.49,171.75,168.01,2022-06-27 04:00:00
4,68736009.0,161.725,170.16,170.25,161.3,2022-06-24 04:00:00
5,40499198.0,156.27,158.75,159.75,154.25,2022-06-23 04:00:00
6,47596820.0,158.38,155.85,160.79,155.44,2022-06-22 04:00:00
7,50661882.0,165.93,157.05,167.76,155.97,2022-06-21 04:00:00
8,31317515.0,161.68,163.74,165.9,159.9,2022-06-17 04:00:00
9,26944143.0,163.72,160.87,165.08,159.61,2022-06-16 04:00:00
10,29808251.0,167.2,169.35,172.16,163.975,2022-06-15 04:00:00
11,27192049.0,166.03,163.73,166.75,161.3601,2022-06-14 04:00:00
12,31749304.0,170.59,164.26,172.575,164.03,2022-06-13 04:00:00
13,27478354.0,183.04,175.57,183.1,175.02,2022-06-10 04:00:00
14,23501579.0,194.28,184.0,199.45,183.68,2022-06-09 04:00:00
15,1571954.0,11.9979,12.31,12.31,11.73,2022-01-28 05:00:00
16,1300741.0,12.43,11.95,12.45,11.93,2022-01-27 05:00:00
17,2167547.0,12.8,12.28,12.8426,12.14,2022-01-26 05:00:00
18,1801800.0,12.48,12.43,12.695,12.29,2022-01-25 05:00:00
19,4186226.0,12.34,12.84,12.84,11.88,2022-01-24 05:00:00
20,2483983.0,13.13,12.77,13.2499,12.75,2022-01-21 05:00:00
21,1868892.0,13.62,13.3,13.8399,13.2619,2022-01-20 05:00:00
22,1657123.0,13.65,13.41,13.7599,13.4,2022-01-19 05:00:00
23,2247109.0,13.87,13.55,13.87,13.525,2022-01-18 05:00:00
24,1682546.0,13.85,13.97,14.0269,13.75,2022-01-14 05:00:00
25,2161494.0,14.59,13.9,14.59,13.88,2022-01-13 05:00:00
26,1454029.0,14.66,14.53,14.72,14.38,2022-01-12 05:00:00
27,1712195.0,14.14,14.46,14.51,14.04,2022-01-11 05:00:00
28,2545030.0,13.85,14.13,14.13,13.571,2022-01-10 05:00:00
29,1947869.0,14.28,14.13,14.44,14.01,2022-01-07 05:00:00
30,2934433.0,14.19,14.28,14.435,13.94,2022-01-06 05:00:00
31,3229326.0,14.79,14.24,14.86,14.24,2022-01-05 05:00:00
32,3030653.0,15.3,14.91,15.3,14.69,2022-01-04 05:00:00
33,2271695.0,15.36,15.25,15.36,15.04,2022-01-03 05:00:00
34,1367278.0,15.4,15.18,15.41,15.17,2021-12-31 05:00:00
35,1481543.0,15.29,15.31,15.46,15.22,2021-12-30 05:00:00
36,1754742.0,15.39,15.25,15.41,15.1,2021-12-29 05:00:00
37,2094794.0,15.63,15.37,15.65,15.325,2021-12-28 05:00:00
38,2088905.0,15.43,15.6,15.62,15.41,2021-12-27 05:00:00
39,1889063.0,15.35,15.36,15.41,15.14,2021-12-23 05:00:00
40,2486958.0,15.16,15.24,15.31,15.095,2021-12-22 05:00:00
41,1606675.0,14.88,15.17,15.17,14.6804,2021-12-21 05:00:00
42,1757551.0,14.53,14.65,14.735,14.5,2021-12-20 05:00:00
43,2285306.0,14.58,14.9,15.01,14.525,2021-12-17 05:00:00
44,2511073.0,15.45,14.79,15.46,14.68,2021-12-16 05:00:00
45,2356281.0,14.95,15.28,15.28,14.615,2021-12-15 05:00:00
46,2662945.0,15.02,15.06,15.17,14.85,2021-12-14 05:00:00
47,2178533.0,15.53,15.24,15.55,15.13,2021-12-13 05:00:00
48,1848318.0,15.77,15.52,15.83,15.39,2021-12-10 05:00:00
49,2600902.0,16.03,15.58,16.15,15.5387,2021-12-09 05:00:00
50,2932906.0,15.84,16.04,16.11,15.675,2021-12-08 05:00:00
51,2558783.0,15.72,15.84,15.88,15.615,2021-12-07 05:00:00
52,2918764.0,15.125,15.26,15.29,14.67,2021-12-06 05:00:00
53,4098283.0,15.67,15.19,15.7199,14.9,2021-12-03 05:00:00
54,2956254.0,15.4153,15.6,15.76,15.32,2021-12-02 05:00:00
55,6225015.0,16.37,15.47,16.4,15.44,2021-12-01 05:00:00
56,4992415.0,16.33,16.1,16.5299,15.9,2021-11-30 05:00:00
57,4274010.0,16.28,16.38,16.41,16.07,2021-11-29 05:00:00
58,4101576.0,16.18,16.01,16.27,15.865,2021-11-26 05:00:00
59,3151818.0,15.87,16.28,16.28,15.84,2021-11-24 05:00:00
60,4578303.0,16.22,16.1,16.37,15.83,2021-11-23 05:00:00
61,7956088.0,17.11,16.3,17.11,16.27,2021-11-22 05:00:00
62,5918489.0,16.8801,16.9,17.06,16.875,2021-11-19 05:00:00
